t (ms);Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0039 Flux-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0043 Torque-generating current, actual value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0044 Flux-generating current, actual value(A eff)
-406;0,178;0;0,15;0,026;
-405,5;0,196;0;0,201;0,021;
-405;0,184;0;0,184;0,004;
-404,5;0,156;0;0,141;-0,009;
-404;0,181;0;0,177;-0,041;
-403,5;0,2;0;0,214;-0,006;
-403;0,14;0;0,175;0;
-402,5;0,171;0;0,132;0,002;
-402;0,206;0;0,175;-0,002;
-401,5;0,184;0;0,194;-0,01;
-401;0,161;0;0,174;0,014;
-400,5;0,169;0;0,145;0;
-400;0,191;0;0,208;0;
-399,5;0,15;0;0,196;-0,003;
-399;0,15;0;0,19;-0,011;
-398,5;0,164;0;0,178;-0,017;
-398;0,207;0;0,178;-0,001;
-397,5;0,161;0;0,2;0,003;
-397;0,164;0;0,146;-0,001;
-396,5;0,187;0;0,163;0,008;
-396;0,206;0;0,19;-0,021;
-395,5;0,148;0;0,194;-0,007;
-395;0,17;0;0,158;-0,013;
-394,5;0,21;0;0,176;0,002;
-394;0,188;0;0,194;0,019;
-393,5;0,155;0;0,151;0,011;
-393;0,155;0;0,191;0,008;
-392,5;0,189;0;0,195;-0,008;
-392;0,176;0;0,18;0,007;
-391,5;0,16;0;0,178;0,008;
-391;0,169;0;0,162;0,009;
-390,5;0,183;0;0,228;-0,012;
-390;0,149;0;0,184;0,015;
-389,5;0,162;0;0,18;-0,018;
-389;0,175;0;0,186;-0,001;
-388,5;0,158;0;0,186;-0,006;
-388;0,166;0;0,194;-0,026;
-387,5;0,169;0;0,178;-0,023;
-387;0,202;0;0,163;0,018;
-386,5;0,142;0;0,188;0,006;
-386;0,193;0;0,169;0,015;
-385,5;0,165;0;0,177;-0,023;
-385;0,177;0;0,192;-0,025;
-384,5;0,188;0;0,132;0,014;
-384;0,196;0;0,187;0;
-383,5;0,187;0;0,142;0,015;
-383;0,164;0;0,208;-0,005;
-382,5;0,198;0;0,138;0,007;
-382;0,159;0;0,18;-0,003;
-381,5;0,167;0;0,187;-0,012;
-381;0,173;0;0,164;-0,018;
-380,5;0,192;0;0,193;-0,009;
-380;0,16;0;0,16;0,002;
-379,5;0,152;0;0,163;0,017;
-379;0,198;0;0,19;0,01;
-378,5;0,179;0;0,168;-0,004;
-378;0,123;0;0,187;-0,004;
-377,5;0,19;0;0,19;-0,007;
-377;0,174;0;0,184;-0,001;
-376,5;0,179;0;0,182;-0,008;
-376;0,165;0;0,194;-0,009;
-375,5;0,153;0;0,165;-0,018;
-375;0,177;0;0,194;-0,024;
-374,5;0,172;0;0,175;0,005;
-374;0,162;0;0,17;-0,031;
-373,5;0,195;0;0,205;-0,011;
-373;0,15;0;0,198;-0,007;
-372,5;0,179;0;0,156;0,024;
-372;0,18;0;0,165;-0,002;
-371,5;0,177;0;0,207;0,018;
-371;0,152;0;0,193;-0,005;
-370,5;0,152;0;0,182;-0,013;
-370;0,184;0;0,194;-0,008;
-369,5;0,179;0;0,165;-0,019;
-369;0,174;0;0,172;-0,027;
-368,5;0,166;0;0,195;-0,015;
-368;0,178;0;0,177;0,004;
-367,5;0,201;0;0,162;0;
-367;0,196;0;0,155;0,033;
-366,5;0,156;0;0,162;0,005;
-366;0,163;0;0,171;-0,003;
-365,5;0,171;0;0,2;-0,008;
-365;0,153;0;0,18;0,009;
-364,5;0,172;0;0,16;0,007;
-364;0,168;0;0,199;0,028;
-363,5;0,177;0;0,172;-0,008;
-363;0,182;0;0,18;-0,016;
-362,5;0,173;0;0,174;0;
-362;0,162;0;0,177;-0,012;
-361,5;0,209;0;0,174;-0,017;
-361;0,151;0;0,164;-0,02;
-360,5;0,158;0;0,181;0,025;
-360;0,175;0;0,196;-0,001;
-359,5;0,183;0;0,161;0;
-359;0,152;0;0,169;-0,012;
-358,5;0,217;0;0,172;-0,015;
-358;0,19;0;0,184;-0,011;
-357,5;0,156;0;0,178;-0,009;
-357;0,168;0;0,17;-0,001;
-356,5;0,184;0;0,176;0,003;
-356;0,155;0;0,158;0,005;
-355,5;0,195;0;0,181;0,002;
-355;0,173;0;0,209;-0,027;
-354,5;0,175;0;0,158;-0,011;
-354;0,193;0;0,192;0,016;
-353,5;0,158;0;0,177;0,008;
-353;0,205;0;0,155;0,014;
-352,5;0,166;0;0,164;0,014;
-352;0,163;0;0,167;-0,029;
-351,5;0,175;0;0,22;-0,013;
-351;0,167;0;0,168;-0,011;
-350,5;0,158;0;0,176;-0,015;
-350;0,186;0;0,159;-0,049;
-349,5;0,181;0;0,188;-0,015;
-349;0,175;0;0,192;-0,006;
-348,5;0,154;0;0,155;0,006;
-348;0,188;0;0,162;0,021;
-347,5;0,177;0;0,19;-0,019;
-347;0,179;0;0,164;-0,001;
-346,5;0,165;0;0,161;0,002;
-346;0,17;0;0,178;0,008;
-345,5;0,183;0;0,155;0,013;
-345;0,202;0;0,184;0,02;
-344,5;0,187;0;0,155;-0,001;
-344;0,175;0;0,149;-0,005;
-343,5;0,155;0;0,172;0;
-343;0,171;0;0,18;-0,015;
-342,5;0,173;0;0,194;0,008;
-342;0,165;0;0,156;-0,01;
-341,5;0,202;0;0,172;-0,026;
-341;0,162;0;0,172;0,016;
-340,5;0,176;0;0,16;0,004;
-340;0,168;0;0,191;0,014;
-339,5;0,169;0;0,174;-0,005;
-339;0,181;0;0,161;-0,003;
-338,5;0,185;0;0,159;0,012;
-338;0,182;0;0,189;0,001;
-337,5;0,153;0;0,187;-0,027;
-337;0,172;0;0,17;-0,016;
-336,5;0,203;0;0,18;-0,024;
-336;0,202;0;0,179;0,012;
-335,5;0,16;0;0,161;-0,002;
-335;0,182;0;0,163;0,006;
-334,5;0,188;0;0,166;0,013;
-334;0,192;0;0,162;-0,018;
-333,5;0,172;0;0,143;-0,013;
-333;0,185;0;0,159;-0,002;
-332,5;0,194;0;0,175;0,003;
-332;0,171;0;0,141;0,026;
-331,5;0,161;0;0,189;-0,004;
-331;0,171;0;0,179;-0,009;
-330,5;0,184;0;0,176;0,012;
-330;0,21;0;0,168;0,003;
-329,5;0,169;0;0,143;0,002;
-329;0,192;0;0,169;-0,005;
-328,5;0,176;0;0,179;-0,002;
-328;0,204;0;0,143;0,013;
-327,5;0,173;0;0,201;0,007;
-327;0,144;0;0,145;-0,008;
-326,5;0,189;0;0,19;0,012;
-326;0,178;0;0,201;0,018;
-325,5;0,162;0;0,168;-0,016;
-325;0,192;0;0,168;-0,014;
-324,5;0,177;0;0,158;0,01;
-324;0,201;0;0,17;0,017;
-323,5;0,176;0;0,159;0,001;
-323;0,174;0;0,177;0,005;
-322,5;0,167;0;0,168;-0,006;
-322;0,201;0;0,172;-0,01;
-321,5;0,182;0;0,175;0,018;
-321;0,166;0;0,146;0,013;
-320,5;0,167;0;0,193;-0,002;
-320;0,186;0;0,174;-0,018;
-319,5;0,185;0;0,13;0,016;
-319;0,188;0;0,196;-0,011;
-318,5;0,188;0;0,152;-0,004;
-318;0,16;0;0,201;-0,018;
-317,5;0,179;0;0,173;-0,003;
-317;0,195;0;0,163;0,017;
-316,5;0,202;0;0,156;0;
-316;0,197;0;0,126;-0,009;
-315,5;0,181;0;0,188;0,005;
-315;0,175;0;0,185;-0,002;
-314,5;0,203;0;0,149;-0,001;
-314;0,17;0;0,189;0,008;
-313,5;0,147;0;0,168;-0,022;
-313;0,188;0;0,19;-0,004;
-312,5;0,172;0;0,187;-0,021;
-312;0,175;0;0,174;-0,015;
-311,5;0,178;0;0,168;-0,028;
-311;0,163;0;0,184;-0,001;
-310,5;0,167;0;0,194;0,002;
-310;0,175;0;0,193;0,008;
-309,5;0,172;0;0,165;0,015;
-309;0,175;0;0,176;0,013;
-308,5;0,173;0;0,179;0,014;
-308;0,168;0;0,176;0,005;
-307,5;0,192;0;0,168;-0,004;
-307;0,173;0;0,189;-0,006;
-306,5;0,165;0;0,169;-0,003;
-306;0,173;0;0,18;0,01;
-305,5;0,168;0;0,201;0,003;
-305;0,182;0;0,174;-0,003;
-304,5;0,163;0;0,182;-0,012;
-304;0,186;0;0,195;0,009;
-303,5;0,176;0;0,155;-0,017;
-303;0,17;0;0,188;-0,002;
-302,5;0,187;0;0,161;0,018;
-302;0,17;0;0,172;0,008;
-301,5;0,158;0;0,18;-0,009;
-301;0,145;0;0,173;-0,022;
-300,5;0,227;0;0,187;-0,006;
-300;0,169;0;0,194;0,016;
-299,5;0,17;0;0,157;0,005;
-299;0,184;0;0,159;0,014;
-298,5;0,185;0;0,191;0,01;
-298;0,165;0;0,206;0,021;
-297,5;0,128;0;0,157;-0,008;
-297;0,19;0;0,202;0,033;
-296,5;0,171;0;0,188;-0,011;
-296;0,169;0;0,191;-0,02;
-295,5;0,191;0;0,167;-0,028;
-295;0,185;0;0,142;0,007;
-294,5;0,183;0;0,209;0,008;
-294;0,174;0;0,159;-0,005;
-293,5;0,19;0;0,164;0,002;
-293;0,17;0;0,177;-0,003;
-292,5;0,207;0;0,149;0,001;
-292;0,201;0;0,175;0,009;
-291,5;0,162;0;0,16;-0,008;
-291;0,171;0;0,159;0,004;
-290,5;0,193;0;0,186;-0,024;
-290;0,186;0;0,191;0,005;
-289,5;0,134;0;0,171;-0,008;
-289;0,18;0;0,192;-0,007;
-288,5;0,187;0;0,199;-0,012;
-288;0,153;0;0,206;0,014;
-287,5;0,127;0;0,168;0,013;
-287;0,176;0;0,196;-0,003;
-286,5;0,167;0;0,21;0,008;
-286;0,145;0;0,184;0,024;
-285,5;0,154;0;0,167;0,014;
-285;0,201;0;0,169;-0,003;
-284,5;0,182;0;0,162;0,001;
-284;0,156;0;0,142;-0,004;
-283,5;0,186;0;0,188;0,001;
-283;0,165;0;0,211;-0,01;
-282,5;0,151;0;0,187;-0,001;
-282;0,193;0;0,159;-0,016;
-281,5;0,203;0;0,195;-0,001;
-281;0,168;0;0,161;0,001;
-280,5;0,152;0;0,159;-0,005;
-280;0,195;0;0,144;-0,003;
-279,5;0,175;0;0,208;-0,016;
-279;0,131;0;0,152;0,007;
-278,5;0,152;0;0,198;-0,009;
-278;0,198;0;0,187;-0,004;
-277,5;0,182;0;0,157;-0,022;
-277;0,174;0;0,169;0,009;
-276,5;0,202;0;0,16;0,018;
-276;0,177;0;0,18;0,001;
-275,5;0,184;0;0,164;0,007;
-275;0,167;0;0,185;0,007;
-274,5;0,197;0;0,173;-0,011;
-274;0,178;0;0,18;-0,006;
-273,5;0,174;0;0,189;-0,003;
-273;0,169;0;0,173;-0,009;
-272,5;0,208;0;0,175;-0,006;
-272;0,196;0;0,154;0,009;
-271,5;0,163;0;0,189;-0,01;
-271;0,195;0;0,168;-0,017;
-270,5;0,172;0;0,176;-0,009;
-270;0,166;0;0,18;0,004;
-269,5;0,176;0;0,166;-0,006;
-269;0,183;0;0,164;0,001;
-268,5;0,173;0;0,177;0,011;
-268;0,168;0;0,169;0;
-267,5;0,168;0;0,176;-0,025;
-267;0,179;0;0,174;0,012;
-266,5;0,179;0;0,18;-0,001;
-266;0,159;0;0,173;0,015;
-265,5;0,202;0;0,179;-0,002;
-265;0,192;0;0,142;-0,001;
-264,5;0,159;0;0,187;-0,01;
-264;0,18;0;0,165;-0,006;
-263,5;0,16;0;0,193;-0,007;
-263;0,185;0;0,199;-0,003;
-262,5;0,165;0;0,146;0,004;
-262;0,185;0;0,206;-0,021;
-261,5;0,179;0;0,174;-0,01;
-261;0,163;0;0,175;-0,014;
-260,5;0,164;0;0,16;0,005;
-260;0,189;0;0,186;0,013;
-259,5;0,203;0;0,161;-0,004;
-259;0,155;0;0,172;-0,006;
-258,5;0,175;0;0,175;-0,038;
-258;0,208;0;0,167;-0,033;
-257,5;0,184;0;0,171;0,014;
-257;0,171;0;0,167;-0,018;
-256,5;0,188;0;0,191;-0,009;
-256;0,189;0;0,149;-0,018;
-255,5;0,184;0;0,168;-0,013;
-255;0,185;0;0,175;0;
-254,5;0,162;0;0,161;0;
-254;0,2;0;0,201;-0,018;
-253,5;0,171;0;0,161;0,02;
-253;0,159;0;0,137;0;
-252,5;0,172;0;0,203;0,004;
