t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0051 Position feedback value 1(Grad);Axis_1 [1] Default\SubtractionAxis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value-Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min )
-406;0;0,4005;-5262,3043;-0,4005;
-405,5;0;1,0872;-5262,3034;-1,0872;
-405;0;-0,1717;-5262,3027;0,1717;
-404,5;0;-1,03;-5262,3052;1,03;
-404;0;-0,1717;-5262,3047;0,1717;
-403,5;0;-0,6866;-5262,3036;0,6866;
-403;0;-1,3733;-5262,3047;1,3733;
-402,5;0;-0,5722;-5262,3044;0,5722;
-402;0;-0,1144;-5262,3051;0,1144;
-401,5;0;0,5722;-5262,3036;-0,5722;
-401;0;0,4005;-5262,3028;-0,4005;
-400,5;0;0,1144;-5262,3038;-0,1144;
-400;0;-0,1717;-5262,3048;0,1717;
-399,5;0;0,9727;-5262,3029;-0,9727;
-399;0;1,4305;-5262,3022;-1,4305;
-398,5;0;-0,2861;-5262,3026;0,2861;
-398;0;-1,1444;-5262,3032;1,1444;
-397,5;0;0,4005;-5262,3017;-0,4005;
-397;0;0,9155;-5262,3024;-0,9155;
-396,5;0;0,2289;-5262,3015;-0,2289;
-396;0;-0,6294;-5262,3032;0,6294;
-395,5;0;-0,1144;-5262,3022;0,1144;
-395;0;-0,515;-5262,3026;0,515;
-394,5;0;-0,2289;-5262,3023;0,2289;
-394;0;-0,2861;-5262,3031;0,2861;
-393,5;0;0,1717;-5262,3028;-0,1717;
-393;0;-0,7439;-5262,303;0,7439;
-392,5;0;-1,6022;-5262,3051;1,6022;
-392;0;0,1144;-5262,3038;-0,1144;
-391,5;0;-0,2289;-5262,3041;0,2289;
-391;0;0,3433;-5262,3041;-0,3433;
-390,5;0;0,0572;-5262,3054;-0,0572;
-390;0;-0,0572;-5262,3053;0,0572;
-389,5;0;-1,7166;-5262,3071;1,7166;
-389;0;1,3733;-5262,3038;-1,3733;
-388,5;0;-0,9727;-5262,3051;0,9727;
-388;0;-0,1144;-5262,305;0,1144;
-387,5;0;0,6866;-5262,3042;-0,6866;
-387;0;-0,0572;-5262,3042;0,0572;
-386,5;0;0;-5262,3055;0;
-386;0;-0,5722;-5262,305;0,5722;
-385,5;0;0,2289;-5262,3036;-0,2289;
-385;0;-0,4578;-5262,3048;0,4578;
-384,5;0;-0,4005;-5262,305;0,4005;
-384;0;-0,1717;-5262,3041;0,1717;
-383,5;0;0;-5262,3027;0;
-383;0;-1,0872;-5262,3048;1,0872;
-382,5;0;0,2289;-5262,3033;-0,2289;
-382;0;0,515;-5262,3042;-0,515;
-381,5;0;-0,1144;-5262,3057;0,1144;
-381;0;0,8583;-5262,3048;-0,8583;
-380,5;0;0,3433;-5262,3035;-0,3433;
-380;0;1,03;-5262,3017;-1,03;
-379,5;0;-0,2289;-5262,3021;0,2289;
-379;0;-0,8011;-5262,3033;0,8011;
-378,5;0;-0,9727;-5262,3042;0,9727;
-378;0;1,0872;-5262,3027;-1,0872;
-377,5;0;0,515;-5262,3032;-0,515;
-377;0;0,9727;-5262,3023;-0,9727;
-376,5;0;0;-5262,3032;0;
-376;0;0,1144;-5262,3035;-0,1144;
-375,5;0;0,7439;-5262,3022;-0,7439;
-375;0;-0,6294;-5262,3041;0,6294;
-374,5;0;0,0572;-5262,305;-0,0572;
-374;0;-1,3733;-5262,3063;1,3733;
-373,5;0;1,2016;-5262,3036;-1,2016;
-373;0;1,0872;-5262,3019;-1,0872;
-372,5;0;-2,4033;-5262,3053;2,4033;
-372;0;-0,0572;-5262,3059;0,0572;
-371,5;0;0,8011;-5262,3049;-0,8011;
-371;0;-0,1144;-5262,3029;0,1144;
-370,5;0;0,7439;-5262,3027;-0,7439;
-370;0;0;-5262,3032;0;
-369,5;0;0,8583;-5262,3027;-0,8583;
-369;0;-0,6294;-5262,3041;0,6294;
-368,5;0;0,1717;-5262,3036;-0,1717;
-368;0;-1,03;-5262,3041;1,03;
-367,5;0;-0,6866;-5262,3037;0,6866;
-367;0;0,1144;-5262,3039;-0,1144;
-366,5;0;-0,1717;-5262,3053;0,1717;
-366;0;-0,2861;-5262,3042;0,2861;
-365,5;0;0;-5262,3032;0;
-365;0;0,8011;-5262,3015;-0,8011;
-364,5;0;-1,1444;-5262,3039;1,1444;
-364;0;-1,03;-5262,3046;1,03;
-363,5;0;-0,6866;-5262,3045;0,6866;
-363;0;1,0872;-5262,3029;-1,0872;
-362,5;0;1,1444;-5262,3033;-1,1444;
-362;0;-0,9727;-5262,3052;0,9727;
-361,5;0;-0,5722;-5262,3048;0,5722;
-361;0;0,3433;-5262,3038;-0,3433;
-360,5;0;-0,2289;-5262,303;0,2289;
-360;0;0,4005;-5262,3023;-0,4005;
-359,5;0;-0,1717;-5262,3041;0,1717;
-359;0;-0,515;-5262,3041;0,515;
-358,5;0;1,6022;-5262,3029;-1,6022;
-358;0;-0,3433;-5262,3039;0,3433;
-357,5;0;-0,8011;-5262,3051;0,8011;
-357;0;-0,8011;-5262,305;0,8011;
-356,5;0;0,4005;-5262,3061;-0,4005;
-356;0;-0,2289;-5262,3059;0,2289;
-355,5;0;1,1444;-5262,3035;-1,1444;
-355;0;-0,515;-5262,3055;0,515;
-354,5;0;-0,4578;-5262,3057;0,4578;
-354;0;0,8583;-5262,3036;-0,8583;
-353,5;0;0,6866;-5262,3028;-0,6866;
-353;0;-0,2861;-5262,3043;0,2861;
-352,5;0;-0,5722;-5262,3052;0,5722;
-352;0;-1,1444;-5262,3055;1,1444;
-351,5;0;-0,2861;-5262,3046;0,2861;
-351;0;-0,515;-5262,3037;0,515;
-350,5;0;0,6866;-5262,3019;-0,6866;
-350;0;-0,5722;-5262,3038;0,5722;
-349,5;0;-0,4578;-5262,3038;0,4578;
-349;0;0,7439;-5262,3027;-0,7439;
-348,5;0;0,2289;-5262,3035;-0,2289;
-348;0;-1,03;-5262,3041;1,03;
-347,5;0;-1,3733;-5262,3054;1,3733;
-347;0;0;-5262,305;0;
-346,5;0;-0,3433;-5262,3053;0,3433;
-346;0;0,4005;-5262,3044;-0,4005;
-345,5;0;1,3161;-5262,3041;-1,3161;
-345;0;-0,2861;-5262,305;0,2861;
-344,5;0;-0,4005;-5262,3051;0,4005;
-344;0;-0,1717;-5262,3054;0,1717;
-343,5;0;-1,4305;-5262,3057;1,4305;
-343;0;0,6866;-5262,3045;-0,6866;
