t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0051 Position feedback value 1(Grad);Axis_1 [1] Default\SubtractionAxis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value-Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min )
-406;0;0,3433;7215,6388;-0,3433;
-405,5;0;0,9155;7215,6381;-0,9155;
-405;0;0,6294;7215,6391;-0,6294;
-404,5;0;0,2861;7215,6398;-0,2861;
-404;0;0,515;7215,6396;-0,515;
-403,5;0;0,6866;7215,6398;-0,6866;
-403;0;0,515;7215,6396;-0,515;
-402,5;0;-0,4005;7215,6385;0,4005;
-402;0;0,1144;7215,6382;-0,1144;
-401,5;0;0,1144;7215,6384;-0,1144;
-401;0;0,515;7215,6399;-0,515;
-400,5;0;1,2016;7215,6408;-1,2016;
-400;0;0,1717;7215,6387;-0,1717;
-399,5;0;0,515;7215,639;-0,515;
-399;0;-0,1717;7215,6386;0,1717;
-398,5;0;0,7439;7215,64;-0,7439;
-398;0;-0,3433;7215,6399;0,3433;
-397,5;0;0,1717;7215,6386;-0,1717;
-397;0;-0,8583;7215,6375;0,8583;
-396,5;0;-0,1144;7215,6385;0,1144;
-396;0;-0,6866;7215,6376;0,6866;
-395,5;0;1,2589;7215,6394;-1,2589;
-395;0;0,6294;7215,6396;-0,6294;
-394,5;0;0,8583;7215,6395;-0,8583;
-394;0;-0,1717;7215,6397;0,1717;
-393,5;0;-1,0872;7215,6377;1,0872;
-393;0;0;7215,6385;0;
-392,5;0;0;7215,639;0;
-392;0;0,2861;7215,639;-0,2861;
-391,5;0;0,6294;7215,6402;-0,6294;
-391;0;-1,1444;7215,639;1,1444;
-390,5;0;-0,2289;7215,639;0,2289;
-390;0;0,2289;7215,6391;-0,2289;
-389,5;0;-0,4578;7215,6386;0,4578;
-389;0;-0,7439;7215,6384;0,7439;
-388,5;0;1,6022;7215,6393;-1,6022;
-388;0;0,0572;7215,6397;-0,0572;
-387,5;0;-1,03;7215,639;1,03;
-387;0;0,3433;7215,6378;-0,3433;
-386,5;0;1,1444;7215,6414;-1,1444;
-386;0;0;7215,6396;0;
-385,5;0;0,2861;7215,6382;-0,2861;
-385;0;1,2016;7215,639;-1,2016;
-384,5;0;0,8583;7215,6399;-0,8583;
-384;0;0;7215,6397;0;
-383,5;0;-0,1144;7215,6397;0,1144;
-383;0;0,1144;7215,6399;-0,1144;
-382,5;0;-1,1444;7215,6383;1,1444;
-382;0;-0,4578;7215,6371;0,4578;
-381,5;0;0,2861;7215,6401;-0,2861;
-381;0;0,515;7215,6401;-0,515;
-380,5;0;0,9155;7215,6407;-0,9155;
-380;0;1,03;7215,64;-1,03;
-379,5;0;0,2861;7215,6409;-0,2861;
-379;0;0,2861;7215,6404;-0,2861;
-378,5;0;0,4578;7215,6397;-0,4578;
-378;0;0,4578;7215,64;-0,4578;
-377,5;0;0,515;7215,6401;-0,515;
-377;0;-0,2861;7215,6396;0,2861;
-376,5;0;-1,3161;7215,6387;1,3161;
-376;0;0,9155;7215,6396;-0,9155;
-375,5;0;0;7215,639;0;
-375;0;-0,6294;7215,6399;0,6294;
-374,5;0;-1,3733;7215,639;1,3733;
-374;0;-0,1717;7215,6394;0,1717;
-373,5;0;-2,0027;7215,6386;2,0027;
-373;0;1,3733;7215,6397;-1,3733;
-372,5;0;-0,8583;7215,6392;0,8583;
-372;0;-0,6294;7215,6402;0,6294;
-371,5;0;-0,1717;7215,6396;0,1717;
-371;0;-0,1717;7215,6389;0,1717;
-370,5;0;0,6294;7215,6396;-0,6294;
-370;0;-0,7439;7215,639;0,7439;
-369,5;0;-0,0572;7215,639;0,0572;
-369;0;0,8583;7215,64;-0,8583;
-368,5;0;0,515;7215,6392;-0,515;
-368;0;-0,4005;7215,6395;0,4005;
-367,5;0;-0,1717;7215,6389;0,1717;
-367;0;-0,6866;7215,6389;0,6866;
-366,5;0;-0,2861;7215,6395;0,2861;
-366;0;-0,5722;7215,6386;0,5722;
-365,5;0;0,6294;7215,6402;-0,6294;
-365;0;-0,8011;7215,6395;0,8011;
-364,5;0;0,2861;7215,6402;-0,2861;
-364;0;0,9727;7215,6399;-0,9727;
-363,5;0;1,3161;7215,6417;-1,3161;
-363;0;-1,545;7215,6385;1,545;
-362,5;0;0,7439;7215,639;-0,7439;
-362;0;-0,4578;7215,6396;0,4578;
-361,5;0;1,03;7215,6393;-1,03;
-361;0;-0,9727;7215,639;0,9727;
-360,5;0;-0,8011;7215,64;0,8011;
-360;0;-0,5722;7215,6384;0,5722;
-359,5;0;0,515;7215,6412;-0,515;
-359;0;-0,3433;7215,6405;0,3433;
-358,5;0;0,2861;7215,639;-0,2861;
-358;0;0,1717;7215,6386;-0,1717;
-357,5;0;2,1172;7215,6414;-2,1172;
-357;0;1,2589;7215,642;-1,2589;
-356,5;0;0,0572;7215,6397;-0,0572;
-356;0;1,6022;7215,642;-1,6022;
-355,5;0;-0,6294;7215,6402;0,6294;
-355;0;0,1717;7215,6412;-0,1717;
-354,5;0;0,4005;7215,6399;-0,4005;
-354;0;-0,0572;7215,6401;0,0572;
-353,5;0;1,7166;7215,6408;-1,7166;
-353;0;0,1717;7215,6402;-0,1717;
-352,5;0;-0,8583;7215,6389;0,8583;
-352;0;1,0872;7215,6403;-1,0872;
-351,5;0;0,1717;7215,6399;-0,1717;
-351;0;0;7215,6402;0;
-350,5;0;-0,5722;7215,6382;0,5722;
-350;0;-0,2861;7215,6389;0,2861;
-349,5;0;-1,4877;7215,639;1,4877;
-349;0;1,4877;7215,6407;-1,4877;
-348,5;0;0,2289;7215,6389;-0,2289;
-348;0;1,8883;7215,6408;-1,8883;
-347,5;0;0,6294;7215,6414;-0,6294;
-347;0;-0,7439;7215,6386;0,7439;
-346,5;0;-0,3433;7215,6385;0,3433;
-346;0;-0,7439;7215,6369;0,7439;
-345,5;0;0,0572;7215,6379;-0,0572;
-345;0;0,4578;7215,6417;-0,4578;
-344,5;0;0,5722;7215,6393;-0,5722;
-344;0;-0,7439;7215,6386;0,7439;
-343,5;0;1,3733;7215,641;-1,3733;
-343;0;-0,3433;7215,6406;0,3433;
-342,5;0;1,0872;7215,6411;-1,0872;
-342;0;0,515;7215,6396;-0,515;
-341,5;0;0,4578;7215,6396;-0,4578;
-341;0;0,7439;7215,6411;-0,7439;
-340,5;0;-0,1717;7215,6414;0,1717;
-340;0;-1,2589;7215,6384;1,2589;
-339,5;0;1,0872;7215,6401;-1,0872;
-339;0;0;7215,639;0;
-338,5;0;-1,03;7215,6373;1,03;
-338;0;0,7439;7215,6415;-0,7439;
-337,5;0;1,03;7215,6419;-1,03;
-337;0;-0,9155;7215,6394;0,9155;
-336,5;0;0,515;7215,6394;-0,515;
-336;0;2,0599;7215,6409;-2,0599;
-335,5;0;0,4578;7215,6414;-0,4578;
-335;0;1,3161;7215,6416;-1,3161;
-334,5;0;-0,9727;7215,6379;0,9727;
-334;0;0,1717;7215,6408;-0,1717;
-333,5;0;-0,3433;7215,6381;0,3433;
-333;0;0,8011;7215,6414;-0,8011;
-332,5;0;-0,2289;7215,6414;0,2289;
-332;0;0,515;7215,64;-0,515;
-331,5;0;0,5722;7215,64;-0,5722;
-331;0;0,5722;7215,6406;-0,5722;
-330,5;0;1,3161;7215,6399;-1,3161;
-330;0;-0,6294;7215,6395;0,6294;
-329,5;0;0,8583;7215,6392;-0,8583;
-329;0;0,4578;7215,6387;-0,4578;
-328,5;0;-0,8011;7215,6387;0,8011;
-328;0;-0,2861;7215,6395;0,2861;
-327,5;0;0,2289;7215,6385;-0,2289;
-327;0;0,5722;7215,6397;-0,5722;
-326,5;0;0,3433;7215,6405;-0,3433;
-326;0;0,1717;7215,6392;-0,1717;
-325,5;0;-0,1717;7215,6408;0,1717;
-325;0;-0,6294;7215,6392;0,6294;
-324,5;0;-0,9155;7215,6389;0,9155;
-324;0;0,1717;7215,6393;-0,1717;
-323,5;0;-0,6294;7215,6371;0,6294;
-323;0;1,0872;7215,6423;-1,0872;
-322,5;0;-1,6594;7215,6398;1,6594;
-322;0;-0,8583;7215,6393;0,8583;
-321,5;0;0,1717;7215,6393;-0,1717;
-321;0;0,0572;7215,6414;-0,0572;
-320,5;0;0;7215,6411;0;
-320;0;0;7215,6394;0;
-319,5;0;0,4578;7215,64;-0,4578;
-319;0;-0,4005;7215,6396;0,4005;
-318,5;0;0,6866;7215,6397;-0,6866;
-318;0;0,6294;7215,6399;-0,6294;
-317,5;0;0;7215,6399;0;
-317;0;-0,1717;7215,6402;0,1717;
-316,5;0;0,2861;7215,6396;-0,2861;
-316;0;0;7215,6408;0;
-315,5;0;-1,1444;7215,6389;1,1444;
-315;0;-1,3161;7215,6397;1,3161;
-314,5;0;0,5722;7215,6405;-0,5722;
-314;0;0,4578;7215,6404;-0,4578;
-313,5;0;0,7439;7215,6417;-0,7439;
-313;0;-1,3733;7215,6396;1,3733;
-312,5;0;2,1172;7215,642;-2,1172;
-312;0;0;7215,6403;0;
-311,5;0;0,6294;7215,6405;-0,6294;
-311;0;0,1144;7215,6388;-0,1144;
-310,5;0;0,7439;7215,6414;-0,7439;
-310;0;0,0572;7215,6407;-0,0572;
-309,5;0;-1,2589;7215,6401;1,2589;
-309;0;0,1717;7215,6406;-0,1717;
-308,5;0;0,0572;7215,6395;-0,0572;
-308;0;0;7215,6408;0;
-307,5;0;-1,2589;7215,6383;1,2589;
-307;0;0;7215,6398;0;
-306,5;0;0;7215,6405;0;
-306;0;1,1444;7215,6412;-1,1444;
-305,5;0;-0,2289;7215,6402;0,2289;
-305;0;0,2289;7215,6402;-0,2289;
-304,5;0;-0,4578;7215,6402;0,4578;
-304;0;-0,1717;7215,6407;0,1717;
-303,5;0;-1,0872;7215,6384;1,0872;
-303;0;0,5722;7215,6407;-0,5722;
-302,5;0;-0,4005;7215,6396;0,4005;
-302;0;0,4578;7215,6392;-0,4578;
-301,5;0;0,5722;7215,6414;-0,5722;
-301;0;0,4578;7215,6404;-0,4578;
-300,5;0;-1,4305;7215,6393;1,4305;
-300;0;-0,9155;7215,6397;0,9155;
-299,5;0;2,1744;7215,6408;-2,1744;
-299;0;-1,7166;7215,638;1,7166;
-298,5;0;-1,2016;7215,6371;1,2016;
-298;0;-1,1444;7215,6371;1,1444;
-297,5;0;-1,4877;7215,6389;1,4877;
-297;0;-0,8011;7215,6378;0,8011;
-296,5;0;0;7215,6373;0;
-296;0;0,1717;7215,6379;-0,1717;
-295,5;0;0,6866;7215,6391;-0,6866;
-295;0;0,2861;7215,6387;-0,2861;
-294,5;0;0,5722;7215,639;-0,5722;
-294;0;0,6294;7215,6402;-0,6294;
-293,5;0;-0,1144;7215,6399;0,1144;
-293;0;-0,2861;7215,6404;0,2861;
-292,5;0;0,4005;7215,6394;-0,4005;
-292;0;-0,1717;7215,6388;0,1717;
-291,5;0;0,6866;7215,6398;-0,6866;
-291;0;-0,4005;7215,6396;0,4005;
-290,5;0;-0,9155;7215,6395;0,9155;
-290;0;-1,2016;7215,6388;1,2016;
-289,5;0;1,545;7215,6408;-1,545;
-289;0;-1,545;7215,6397;1,545;
-288,5;0;0,1717;7215,6417;-0,1717;
-288;0;-0,9727;7215,6394;0,9727;
-287,5;0;-0,9155;7215,6378;0,9155;
-287;0;-0,4005;7215,6385;0,4005;
-286,5;0;1,4305;7215,6408;-1,4305;
-286;0;-0,6294;7215,6391;0,6294;
-285,5;0;-0,5722;7215,6402;0,5722;
-285;0;-0,8011;7215,6405;0,8011;
-284,5;0;-1,03;7215,6395;1,03;
-284;0;-0,3433;7215,6397;0,3433;
-283,5;0;-0,2861;7215,6393;0,2861;
-283;0;-0,1144;7215,6414;0,1144;
-282,5;0;0;7215,6411;0;
-282;0;-0,3433;7215,6406;0,3433;
-281,5;0;-1,6022;7215,6399;1,6022;
-281;0;-0,4005;7215,639;0,4005;
-280,5;0;-0,3433;7215,639;0,3433;
-280;0;-0,3433;7215,6393;0,3433;
-279,5;0;-0,2861;7215,6381;0,2861;
-279;0;0,1144;7215,6392;-0,1144;
-278,5;0;0,6294;7215,6396;-0,6294;
-278;0;0,2289;7215,6396;-0,2289;
-277,5;0;0,3433;7215,6396;-0,3433;
-277;0;0,6294;7215,639;-0,6294;
-276,5;0;1,545;7215,6402;-1,545;
-276;0;-1,03;7215,639;1,03;
-275,5;0;-0,8011;7215,6402;0,8011;
-275;0;0;7215,6388;0;
-274,5;0;0,6866;7215,6407;-0,6866;
-274;0;0,2861;7215,6382;-0,2861;
-273,5;0;0,4578;7215,6395;-0,4578;
-273;0;0,1717;7215,6405;-0,1717;
-272,5;0;-0,9155;7215,6399;0,9155;
-272;0;-1,6594;7215,639;1,6594;
-271,5;0;0,9155;7215,6408;-0,9155;
-271;0;0,2289;7215,6403;-0,2289;
-270,5;0;-0,8011;7215,6395;0,8011;
-270;0;0,5722;7215,6393;-0,5722;
-269,5;0;0,515;7215,6399;-0,515;
-269;0;0;7215,6415;0;
-268,5;0;0,7439;7215,6399;-0,7439;
-268;0;0,1144;7215,6412;-0,1144;
-267,5;0;0,7439;7215,6414;-0,7439;
-267;0;-0,1717;7215,6418;0,1717;
-266,5;0;-0,9155;7215,6401;0,9155;
-266;0;-0,1144;7215,639;0,1144;
-265,5;0;-1,4305;7215,6384;1,4305;
-265;0;1,4305;7215,6417;-1,4305;
-264,5;0;0;7215,6408;0;
-264;0;0,4005;7215,6426;-0,4005;
-263,5;0;-1,03;7215,6393;1,03;
-263;0;-1,2016;7215,6396;1,2016;
-262,5;0;-0,8011;7215,6393;0,8011;
-262;0;0,1144;7215,6403;-0,1144;
-261,5;0;-0,1144;7215,6393;0,1144;
-261;0;0,9727;7215,6406;-0,9727;
-260,5;0;-0,9155;7215,6395;0,9155;
-260;0;-0,1144;7215,639;0,1144;
-259,5;0;-0,515;7215,6403;0,515;
-259;0;-0,2861;7215,6407;0,2861;
-258,5;0;0;7215,64;0;
-258;0;-0,5722;7215,6382;0,5722;
-257,5;0;-1,3733;7215,6384;1,3733;
-257;0;0,1717;7215,6403;-0,1717;
-256,5;0;-1,0872;7215,6396;1,0872;
-256;0;0,4005;7215,6396;-0,4005;
-255,5;0;-0,8011;7215,6396;0,8011;
-255;0;-2,1172;7215,6379;2,1172;
-254,5;0;-0,7439;7215,6401;0,7439;
-254;0;0,1717;7215,6399;-0,1717;
-253,5;0;-0,9727;7215,6378;0,9727;
-253;0;0,1144;7215,6392;-0,1144;
-252,5;0;-0,4578;7215,639;0,4578;
-252;0;0;7215,6384;0;
-251,5;0;-0,8583;7215,6384;0,8583;
-251;0;0,1717;7215,639;-0,1717;
-250,5;0;0,9727;7215,6395;-0,9727;
-250;0;-0,9727;7215,6396;0,9727;
-249,5;0;-0,6294;7215,6384;0,6294;
-249;0;0,6866;7215,6404;-0,6866;
-248,5;0;-1,8883;7215,6386;1,8883;
-248;0;-0,1717;7215,6391;0,1717;
-247,5;0;0,7439;7215,6385;-0,7439;
-247;0;-1,4305;7215,6381;1,4305;
-246,5;0;-0,3433;7215,6382;0,3433;
-246;0;-1,2589;7215,6374;1,2589;
-245,5;0;-0,1717;7215,6388;0,1717;
-245;0;1,3733;7215,6406;-1,3733;
-244,5;0;-0,4005;7215,6389;0,4005;
-244;0;-0,2289;7215,6376;0,2289;
