t (ms);Axis_1 [1] Default\P-Parameter\P-0-0065 Absolute voltage value, actual value(V eff);Axis_1 [1] Default\P-Parameter\P-0-0067 Phase current U, actual value(A);Axis_1 [1] Default\P-Parameter\P-0-0068 Phase current V, actual value(A);Axis_1 [1] Default\S-Parameter\S-0-0380 DC bus voltage(V)
-406;2;-0,009;-0,006;564,7;
-405,5;1;0,007;-0,003;564,6;
-405;0,1;0,013;-0,014;564,6;
-404,5;0,5;0,024;-0,051;564,5;
-404;0,8;0,027;-0,022;564,5;
-403,5;1,2;-0,015;-0,014;564,5;
-403;0,6;0,014;-0,032;564,3;
-402,5;1,1;0,018;-0,018;564,3;
-402;2,2;-0,005;0,006;564,3;
-401,5;1,5;0,002;0,003;564,1;
-401;0,5;0,024;-0,037;564,1;
-400,5;0,5;0,022;-0,028;564,1;
-400;1,3;0,002;-0,005;563,9;
-399,5;1;0,007;-0,033;564;
-399;1,2;0,022;-0,009;563,8;
-398,5;1,1;0,024;-0,019;563,9;
-398;0,7;0,008;-0,022;563,8;
-397,5;1,7;-0,011;-0,052;563,8;
-397;1,3;0,032;-0,02;564,4;
-396,5;1,1;0,028;-0,012;564,5;
-396;0,3;0,01;-0,017;564,5;
-395,5;1,6;0,016;-0,028;564,5;
-395;1,8;0,012;0,004;564,3;
-394,5;1,4;0,024;0,004;564,4;
-394;1,2;-0,01;-0,012;564,4;
-393,5;0,8;0,016;-0,024;564,3;
-393;1,1;0,01;-0,015;564,3;
-392,5;0,4;0,021;-0,039;564,2;
-392;1,1;0,018;-0,001;564,2;
-391,5;1,1;0,012;-0,033;564,2;
-391;0,9;0,007;-0,005;564,1;
-390,5;2,4;-0,011;-0,003;564,1;
-390;1,3;0,028;-0,009;564;
-389,5;1;0,008;-0,005;564;
-389;0,7;0,031;-0,023;564;
-388,5;0,8;0,017;-0,024;564;
-388;1,7;0,002;-0,035;563,8;
-387,5;1,3;0;0;563,8;
-387;0,9;0,017;-0,015;564,6;
-386,5;1,3;-0,004;0;564,8;
-386;1,1;0,004;-0,01;564,7;
-385,5;1;0,004;-0,027;564,5;
-385;1,1;0,042;-0,029;564,5;
-384,5;0,7;0,004;-0,029;564,5;
-384;0,7;0,046;-0,037;564,5;
-383,5;1,2;0,027;-0,063;564,4;
-383;1;0,044;-0,02;564,4;
-382,5;1,4;0,038;-0,02;564,4;
-382;1,6;0,014;0,004;564,4;
-381,5;1,1;0,005;-0,005;564,2;
-381;2;-0,011;0,006;564,2;
-380,5;1,5;-0,007;-0,017;564,2;
-380;0,3;0,008;-0,014;564;
-379,5;1,3;0,021;-0,012;564;
-379;0,6;0,036;-0,033;563,9;
-378,5;1,2;0,017;-0,001;563,9;
-378;1;0,017;-0,003;563,9;
-377,5;0;0,031;-0,034;563,8;
-377;0,4;0,01;-0,018;564,5;
-376,5;1,8;0;-0,02;564,6;
-376;0,4;0,027;-0,03;564,7;
-375,5;1,4;-0,011;-0,014;564,5;
-375;0,8;0,004;-0,009;564,5;
-374,5;1,5;-0,007;-0,028;564,4;
-374;0,8;0,009;-0,041;564,4;
-373,5;1,4;-0,002;-0,049;564,4;
-373;1,7;-0,017;-0,019;564,3;
-372,5;1,3;-0,007;0,003;564,3;
-372;0,7;0,037;-0,043;564,2;
-371,5;0,7;0,021;-0,027;564,1;
-371;0,6;0,047;-0,048;564,2;
-370,5;1,3;-0,001;-0,035;564,2;
-370;1,2;0,013;-0,009;564,2;
-369,5;0,6;0,043;-0,02;564,1;
-369;0,3;0,021;-0,042;564;
-368,5;0,5;0,022;-0,039;564;
-368;0,8;0,013;-0,003;564;
-367,5;0,2;0,017;-0,052;563,9;
-367;1,1;0,002;-0,024;564,6;
-366,5;0,7;0,01;-0,024;564,8;
-366;1,2;-0,007;-0,034;564,6;
-365,5;1,1;0,002;-0,038;564,6;
-365;0,5;0,023;-0,057;564,6;
-364,5;0,4;0,026;-0,029;564,5;
-364;1;0,024;-0,017;564,5;
-363,5;0,3;0,028;-0,027;564,5;
-363;1;0,022;-0,024;564,4;
-362,5;0,6;0,014;-0,01;564,3;
-362;0,7;0,013;-0,019;564,4;
-361,5;1,3;0,018;-0,018;564,3;
-361;0,9;0,007;-0,01;564,2;
-360,5;1,3;0,026;-0,028;564,2;
-360;2;-0,02;0,001;564,1;
-359,5;0,5;0,007;-0,001;564;
-359;1,6;0,032;0;564;
-358,5;1,8;-0,011;-0,014;563,9;
-358;0,9;0;-0,034;563,8;
-357,5;1,1;0,005;-0,001;563,8;
-357;0,8;0,018;-0,017;564,6;
-356,5;0,4;0,027;-0,051;564,7;
-356;1,3;-0,005;-0,035;564,6;
-355,5;1,1;0,027;-0,017;564,6;
-355;1,2;0,007;-0,023;564,5;
-354,5;1,5;-0,006;0,011;564,5;
-354;1,2;0,032;-0,01;564,5;
-353,5;0,3;0,023;-0,032;564,4;
-353;1,5;-0,002;-0,005;564,3;
-352,5;1,1;-0,009;0,003;564,3;
-352;2;0,002;-0,014;564,3;
-351,5;0,9;0,007;-0,008;564,2;
-351;1,5;0,014;0,003;564,1;
-350,5;0,5;0,028;-0,024;564,2;
-350;0,5;0,005;-0,027;564,2;
-349,5;1,1;0,018;-0,024;564,1;
-349;0,6;0,01;-0,024;564,1;
-348,5;2,4;0,005;0,003;564;
-348;0,8;0,016;-0,003;564;
-347,5;1;0,022;-0,023;564;
-347;1,5;0,018;-0,013;564,7;
-346,5;1,2;-0,012;-0,012;564,9;
-346;0,8;0,021;-0,024;564,7;
-345,5;2,1;0,018;0,005;564,7;
-345;0,8;0,024;-0,017;564,7;
-344,5;1,6;0,009;0,004;564,7;
-344;0,6;0,012;-0,033;564,6;
-343,5;0,7;0,014;-0,037;564,5;
-343;0,9;0,009;-0,023;564,5;
-342,5;0,7;0,01;-0,028;564,4;
-342;0,4;0,009;-0,013;564,4;
-341,5;1;0,012;-0,018;564,4;
-341;1,4;0,007;-0,01;564,3;
-340,5;0,1;0,043;-0,042;564,2;
-340;1,4;0,002;-0,013;564,2;
-339,5;0,8;0,01;-0,034;564,1;
-339;1,3;0,027;-0,009;564;
-338,5;0,9;0,021;-0,006;564;
-338;0,1;0,042;-0,022;563,9;
-337,5;0,2;0,023;-0,023;564;
-337;1;0,012;-0,014;564,5;
-336,5;0,8;0,022;-0,047;564,6;
-336;0,9;0,008;-0,018;564,6;
-335,5;0,7;0,012;-0,032;564,5;
-335;1,3;0,007;0,005;564,5;
-334,5;1,4;0,047;-0,006;564,4;
-334;0,8;0,002;-0,033;564,4;
-333,5;0,8;0,005;-0,022;564,3;
-333;0,8;0,038;-0,017;564,3;
-332,5;1,7;0;0,001;564,3;
