t (ms);Axis_1 [1] Default\P-Parameter\P-0-0065 Absolute voltage value, actual value(V eff);Axis_1 [1] Default\P-Parameter\P-0-0067 Phase current U, actual value(A);Axis_1 [1] Default\P-Parameter\P-0-0068 Phase current V, actual value(A);Axis_1 [1] Default\S-Parameter\S-0-0380 DC bus voltage(V)
-406;0,9;0,014;0,006;565,5;
-405,5;1,2;0,028;-0,005;565,5;
-405;1,2;0,008;0,008;565,4;
-404,5;0,7;-0,005;0,018;565,3;
-404;0,7;0,002;-0,013;565,2;
-403,5;0,2;0;0,001;565,2;
-403;0,2;-0,017;0;565,2;
-402,5;0,4;0,014;-0,004;565,2;
-402;0,8;0,003;0,003;565,1;
-401,5;0,7;0,014;-0,015;565,1;
-401;0,1;-0,014;0,003;565;
-400,5;0,7;0,003;-0,009;565;
-400;1,3;-0,007;-0,004;565,9;
-399,5;0,8;0,002;-0,001;565,9;
-399;0,3;-0,006;0,001;565,8;
-398,5;2,6;-0,026;-0,025;565,8;
-398;1;-0,014;-0,013;565,7;
-397,5;0,7;0,002;0,022;565,6;
-397;2;-0,014;-0,004;565,6;
-396,5;2,3;-0,015;-0,033;565,6;
-396;1,6;-0,009;-0,043;565,6;
-395,5;0,3;0,005;0,003;565,5;
-395;0,8;0,005;0,006;565,4;
-394,5;0,4;-0,004;0,005;565,4;
-394;0,3;0,013;0,006;565,5;
-393,5;0,1;0,01;0,022;565,3;
-393;0,6;0,01;0;565,2;
-392,5;1,3;-0,015;-0,009;565,3;
-392;0,9;0,014;-0,004;565,2;
-391,5;1,4;-0,016;-0,015;565,2;
-391;1;-0,014;0,011;565,2;
-390,5;0,2;-0,006;0,011;565,2;
-390;0,6;-0,012;-0,008;565,9;
-389,5;0,9;0,008;-0,027;565,9;
-389;1,2;0,019;0,02;565,9;
-388,5;1,6;0,018;0,01;565,8;
-388;1;-0,009;-0,01;565,8;
-387,5;0,6;0,013;-0,001;565,7;
-387;2,3;-0,016;-0,01;565,6;
-386,5;1,4;-0,005;-0,003;565,6;
-386;0,4;-0,002;0,005;565,6;
-385,5;1,6;-0,019;0;565,5;
