t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0051 Position feedback value 1(Grad);Axis_1 [1] Default\SubtractionAxis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value-Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min )
-406;0;-0,7439;10225,0956;0,7439;
-405,5;0;1,0872;10225,0973;-1,0872;
-405;0;-0,515;10225,0975;0,515;
-404,5;0;-0,4005;10225,0962;0,4005;
-404;0;0,8583;10225,0963;-0,8583;
-403,5;0;0,515;10225,0979;-0,515;
-403;0;0,4005;10225,0981;-0,4005;
-402,5;0;0,6294;10225,097;-0,6294;
-402;0;-0,1717;10225,0984;0,1717;
-401,5;0;1,545;10225,0989;-1,545;
-401;0;-0,7439;10225,097;0,7439;
-400,5;0;0,8011;10225,096;-0,8011;
-400;0;-0,7439;10225,0963;0,7439;
-399,5;0;-1,4305;10225,0961;1,4305;
-399;0;-0,2289;10225,0963;0,2289;
-398,5;0;-0,1144;10225,0946;0,1144;
-398;0;0,9727;10225,0982;-0,9727;
-397,5;0;-0,6294;10225,0987;0,6294;
-397;0;-0,4578;10225,0963;0,4578;
-396,5;0;0,3433;10225,0977;-0,3433;
-396;0;1,03;10225,1;-1,03;
-395,5;0;0,2289;10225,0986;-0,2289;
-395;0;0,5722;10225,0982;-0,5722;
-394,5;0;1,6022;10225,1008;-1,6022;
-394;0;-0,2289;10225,0995;0,2289;
-393,5;0;-0,515;10225,0987;0,515;
-393;0;-0,2861;10225,0991;0,2861;
-392,5;0;1,7738;10225,1012;-1,7738;
-392;0;0,6294;10225,1008;-0,6294;
-391,5;0;0,7439;10225,0987;-0,7439;
-391;0;1,2016;10225,1014;-1,2016;
-390,5;0;-1,4877;10225,0976;1,4877;
-390;0;1,4305;10225,0991;-1,4305;
-389,5;0;-1,2589;10225,0984;1,2589;
-389;0;0,2861;10225,0985;-0,2861;
-388,5;0;-2,1172;10225,0947;2,1172;
-388;0;0,9155;10225,0965;-0,9155;
-387,5;0;0,6294;10225,0985;-0,6294;
-387;0;1,0872;10225,1005;-1,0872;
-386,5;0;-1,4877;10225,0953;1,4877;
-386;0;2,2316;10225,0994;-2,2316;
-385,5;0;-0,9727;10225,0977;0,9727;
-385;0;-0,3433;10225,0984;0,3433;
-384,5;0;0,9155;10225,0998;-0,9155;
-384;0;0,515;10225,0987;-0,515;
-383,5;0;0,515;10225,1006;-0,515;
-383;0;-2,4605;10225,0966;2,4605;
-382,5;0;-0,6294;10225,0958;0,6294;
-382;0;0,9727;10225,0976;-0,9727;
