t (ms);Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0039 Flux-generating current, command value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0043 Torque-generating current, actual value(A eff);Axis_1 [1] Default\P-Parameter\P-0-0044 Flux-generating current, actual value(A eff)
-406;0,063;0;0,07;0,01;
-405,5;0,055;0;0,039;-0,001;
-405;0,049;0;0,071;-0,016;
-404,5;0,056;0;0,06;-0,019;
-404;0,077;0;0,056;-0,031;
-403,5;0,047;0;0,05;-0,004;
-403;0,077;0;0,064;0,017;
-402,5;0,059;0;0,038;-0,008;
-402;0,066;0;0,066;-0,003;
-401,5;0,053;0;0,071;-0,014;
-401;0,051;0;0,042;-0,015;
-400,5;0,061;0;0,05;-0,004;
-400;0,043;0;0,045;-0,016;
-399,5;0,065;0;0,069;0;
-399;0,058;0;0,063;-0,007;
-398,5;0,056;0;0,056;-0,016;
-398;0,068;0;0,063;-0,013;
-397,5;0,058;0;0,075;0,016;
-397;0,073;0;0,051;0,015;
-396,5;0,074;0;0,05;-0,015;
-396;0,062;0;0,047;-0,011;
-395,5;0,075;0;0,064;0;
-395;0,048;0;0,057;0,022;
-394,5;0,058;0;0,065;-0,003;
-394;0,055;0;0,064;-0,007;
-393,5;0,079;0;0,059;0,002;
-393;0,055;0;0,039;-0,01;
-392,5;0,063;0;0,056;-0,016;
-392;0,058;0;0,053;-0,019;
-391,5;0,069;0;0,06;0,004;
-391;0,064;0;0,059;-0,01;
-390,5;0,058;0;0,064;0,005;
-390;0,054;0;0,05;-0,01;
-389,5;0,067;0;0,043;0,002;
-389;0,057;0;0,071;-0,007;
-388,5;0,051;0;0,061;0,016;
-388;0,049;0;0,059;0,017;
-387,5;0,06;0;0,056;0;
-387;0,044;0;0,067;0,013;
-386,5;0,072;0;0,059;0,047;
-386;0,057;0;0,054;-0,03;
-385,5;0,068;0;0,062;-0,021;
-385;0,061;0;0,053;0,013;
-384,5;0,064;0;0,073;0,003;
-384;0,051;0;0,057;-0,015;
-383,5;0,058;0;0,046;-0,005;
-383;0,087;0;0,064;0,001;
-382,5;0,053;0;0,072;0;
-382;0,052;0;0,066;0,022;
-381,5;0,06;0;0,053;0,019;
-381;0,057;0;0,068;-0,014;
-380,5;0,063;0;0,052;-0,012;
-380;0,05;0;0,071;0,001;
-379,5;0,082;0;0,048;-0,007;
-379;0,053;0;0,05;-0,006;
-378,5;0,073;0;0,065;0,011;
-378;0,048;0;0,055;-0,009;
-377,5;0,047;0;0,064;0,008;
-377;0,044;0;0,058;-0,004;
-376,5;0,065;0;0,074;-0,026;
-376;0,072;0;0,052;0,002;
-375,5;0,063;0;0,06;-0,025;
-375;0,059;0;0,051;-0,015;
-374,5;0,064;0;0,075;0,02;
-374;0,057;0;0,073;0,016;
-373,5;0,063;0;0,058;0;
-373;0,063;0;0,074;0,002;
-372,5;0,05;0;0,062;-0,004;
-372;0,067;0;0,054;0,031;
-371,5;0,06;0;0,061;-0,008;
-371;0,071;0;0,054;0;
-370,5;0,064;0;0,052;-0,005;
-370;0,053;0;0,045;-0,02;
-369,5;0,083;0;0,05;0,003;
-369;0,063;0;0,044;0,015;
-368,5;0,044;0;0,058;0,009;
-368;0,057;0;0,063;0,011;
-367,5;0,083;0;0,065;0,005;
-367;0,065;0;0,056;0,005;
-366,5;0,055;0;0,048;-0,007;
-366;0,048;0;0,062;0,008;
-365,5;0,064;0;0,053;-0,015;
-365;0,076;0;0,06;-0,018;
-364,5;0,062;0;0,043;0,02;
-364;0,077;0;0,04;-0,011;
-363,5;0,067;0;0,057;0;
-363;0,063;0;0,058;0,009;
-362,5;0,07;0;0,059;0,002;
-362;0,067;0;0,06;0,016;
-361,5;0,073;0;0,068;0,013;
-361;0,053;0;0,039;0,007;
-360,5;0,035;0;0,07;-0,005;
-360;0,064;0;0,068;-0,008;
-359,5;0,052;0;0,091;-0,002;
-359;0,076;0;0,058;0,007;
-358,5;0,06;0;0,063;0,031;
-358;0,057;0;0,063;0,017;
-357,5;0,056;0;0,069;0,022;
-357;0,051;0;0,078;-0,013;
-356,5;0,07;0;0,051;-0,003;
-356;0,055;0;0,075;0,008;
-355,5;0,046;0;0,015;-0,016;
-355;0,067;0;0,081;-0,012;
-354,5;0,045;0;0,061;-0,003;
-354;0,069;0;0,052;0,001;
-353,5;0,058;0;0,063;0,023;
-353;0,067;0;0,069;0,016;
-352,5;0,056;0;0,04;0,003;
-352;0,083;0;0,048;0,006;
-351,5;0,047;0;0,076;0;
-351;0,056;0;0,073;-0,011;
-350,5;0,065;0;0,063;0;
-350;0,052;0;0,058;0;
-349,5;0,063;0;0,045;-0,008;
-349;0,063;0;0,064;0,005;
-348,5;0,068;0;0,053;0,002;
-348;0,051;0;0,063;-0,007;
-347,5;0,076;0;0,04;0,004;
-347;0,058;0;0,055;-0,037;
-346,5;0,053;0;0,054;-0,034;
-346;0,067;0;0,051;0,008;
-345,5;0,062;0;0,045;-0,014;
-345;0,057;0;0,049;-0,023;
-344,5;0,076;0;0,076;-0,003;
-344;0,058;0;0,039;0,019;
-343,5;0,063;0;0,06;-0,007;
-343;0,06;0;0,048;-0,01;
-342,5;0,063;0;0,069;0,013;
-342;0,039;0;0,062;0,009;
-341,5;0,069;0;0,062;-0,005;
-341;0,069;0;0,045;-0,008;
-340,5;0,063;0;0,084;0,005;
-340;0,055;0;0,059;0,025;
-339,5;0,069;0;0,064;0,01;
-339;0,067;0;0,055;-0,014;
-338,5;0,054;0;0,079;-0,02;
-338;0,053;0;0,068;0,024;
-337,5;0,049;0;0,072;-0,005;
-337;0,057;0;0,063;-0,011;
-336,5;0,048;0;0,075;0,023;
-336;0,072;0;0,063;-0,013;
-335,5;0,049;0;0,03;-0,011;
-335;0,044;0;0,067;-0,015;
-334,5;0,058;0;0,076;-0,011;
-334;0,045;0;0,062;-0,004;
-333,5;0,06;0;0,085;-0,007;
-333;0,078;0;0,045;-0,007;
-332,5;0,052;0;0,063;0,014;
-332;0,072;0;0,062;0,001;
-331,5;0,046;0;0,064;-0,023;
-331;0,068;0;0,069;-0,012;
-330,5;0,072;0;0,043;0,012;
-330;0,058;0;0,098;-0,005;
-329,5;0,052;0;0,039;0,009;
-329;0,063;0;0,054;0,003;
-328,5;0,057;0;0,053;0,012;
-328;0,065;0;0,063;0,004;
-327,5;0,055;0;0,069;0,016;
-327;0,048;0;0,064;-0,009;
-326,5;0,071;0;0,054;-0,017;
-326;0,063;0;0,097;0,003;
-325,5;0,06;0;0,06;0,002;
-325;0,057;0;0,057;0;
-324,5;0,068;0;0,076;-0,003;
-324;0,059;0;0,065;0,005;
-323,5;0,044;0;0,04;0,001;
-323;0,063;0;0,07;-0,031;
-322,5;0,059;0;0,054;-0,021;
-322;0,072;0;0,027;0,003;
-321,5;0,049;0;0,071;0,001;
-321;0,081;0;0,039;0,007;
-320,5;0,057;0;0,067;-0,01;
-320;0,046;0;0,06;-0,002;
-319,5;0,068;0;0,06;0,011;
-319;0,054;0;0,048;-0,017;
-318,5;0,072;0;0,081;-0,012;
-318;0,068;0;0,073;0,031;
-317,5;0,063;0;0,047;0,02;
-317;0,077;0;0,056;0,004;
-316,5;0,054;0;0,053;-0,014;
-316;0,08;0;0,05;-0,019;
-315,5;0,056;0;0,053;-0,021;
-315;0,043;0;0,065;0,023;
-314,5;0,063;0;0,071;-0,003;
-314;0,054;0;0,072;0,002;
-313,5;0,043;0;0,053;-0,007;
-313;0,077;0;0,073;0;
-312,5;0,048;0;0,081;0,011;
-312;0,046;0;0,059;-0,023;
-311,5;0,06;0;0,057;-0,011;
-311;0,063;0;0,036;0;
-310,5;0,049;0;0,075;0;
-310;0,057;0;0,044;0,022;
-309,5;0,073;0;0,046;0,015;
-309;0,041;0;0,064;-0,015;
-308,5;0,077;0;0,065;0,025;
-308;0,069;0;0,054;-0,008;
-307,5;0,063;0;0,049;-0,005;
-307;0,063;0;0,056;-0,008;
-306,5;0,064;0;0,073;-0,008;
-306;0,065;0;0,047;-0,012;
-305,5;0,058;0;0,08;-0,005;
-305;0,039;0;0,036;-0,012;
-304,5;0,055;0;0,079;0,012;
-304;0,055;0;0,068;-0,003;
-303,5;0,053;0;0,057;-0,01;
-303;0,074;0;0,057;-0,008;
-302,5;0,061;0;0,053;-0,039;
-302;0,068;0;0,053;-0,019;
-301,5;0,049;0;0,062;-0,003;
-301;0,072;0;0,045;-0,026;
-300,5;0,055;0;0,062;0,008;
-300;0,054;0;0,042;-0,02;
-299,5;0,068;0;0,065;-0,031;
-299;0,053;0;0,055;-0,003;
-298,5;0,068;0;0,064;0,005;
-298;0,064;0;0,045;0,018;
-297,5;0,037;0;0,082;0,034;
-297;0,059;0;0,073;-0,024;
-296,5;0,063;0;0,049;0,01;
-296;0,053;0;0,07;-0,009;
-295,5;0,047;0;0,041;-0,003;
-295;0,069;0;0,063;-0,003;
-294,5;0,065;0;0,04;-0,016;
-294;0,069;0;0,05;-0,023;
-293,5;0,064;0;0,058;-0,013;
-293;0,043;0;0,072;0,019;
-292,5;0,067;0;0,074;0,009;
-292;0,049;0;0,063;0,014;
-291,5;0,051;0;0,062;-0,003;
-291;0,048;0;0,058;0,006;
-290,5;0,067;0;0,077;0,01;
-290;0,055;0;0,049;-0,026;
-289,5;0,068;0;0,063;0,016;
-289;0,072;0;0,052;0,006;
-288,5;0,052;0;0,083;0,022;
-288;0,076;0;0,051;0,006;
-287,5;0,043;0;0,064;0,011;
-287;0,07;0;0,052;-0,007;
-286,5;0,048;0;0,071;-0,003;
-286;0,05;0;0,064;0,012;
-285,5;0,036;0;0,071;-0,005;
-285;0,068;0;0,047;-0,005;
-284,5;0,066;0;0,059;0,015;
-284;0,043;0;0,1;0,004;
-283,5;0,031;0;0,054;0,005;
-283;0,07;0;0,073;0,014;
-282,5;0,055;0;0,075;0,006;
-282;0,053;0;0,031;0;
-281,5;0,064;0;0,071;-0,025;
-281;0,064;0;0,053;-0,009;
-280,5;0,071;0;0,043;0;
-280;0,06;0;0,055;-0,001;
-279,5;0,06;0;0,072;-0,006;
-279;0,062;0;0,047;-0,011;
