t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\S-Parameter\S-0-0347 Velocity error(U/min )
-406,5;0;-0,1717;0,693;0,1717;
-406;0;0,3433;0,697;-0,3433;
-405,5;0;1,03;0,699;-1,03;
-405;0;1,4877;0,696;-1,4877;
-404,5;0;1,3161;0,686;-1,3161;
-404;0;0,9727;0,681;-0,9727;
-403,5;0;-0,9155;0,688;0,9155;
-403;0;-1,545;0,712;1,545;
-402,5;0;-0,0572;0,718;0,0572;
-402;0;2,6321;0,695;-2,6321;
-401,5;0;2,9755;0,673;-2,9755;
-401;0;0,1144;0,671;-0,1144;
-400,5;0;-2,5177;0,692;2,5177;
-400;0;-0,0572;0,719;0,0572;
-399,5;0;0,5722;0,714;-0,5722;
-399;0;1,4305;0,696;-1,4305;
-398,5;0;1,545;0,68;-1,545;
-398;0;0,9155;0,673;-0,9155;
-397,5;0;-0,2289;0,687;0,2289;
-397;0;-0,9155;0,694;0,9155;
-396,5;0;-0,8011;0,691;0,8011;
-396;0;0,0572;0,697;-0,0572;
-395,5;0;0,3433;0,704;-0,3433;
-395;0;2,9182;0,685;-2,9182;
-394,5;0;0,5722;0,667;-0,5722;
-394;0;-1,4305;0,678;1,4305;
-393,5;0;-1,3733;0,7;1,3733;
-393;0;-3,0327;0,713;3,0327;
-392,5;0;1,545;0,717;-1,545;
-392;0;2,4605;0,68;-2,4605;
-391,5;0;2,346;0,667;-2,346;
-391;0;-1,7166;0,668;1,7166;
-390,5;0;-1,1444;0,694;1,1444;
-390;0;-1,2016;0,712;1,2016;
-389,5;0;-0,9727;0,71;0,9727;
-389;0;1,7166;0,687;-1,7166;
-388,5;0;0,2289;0,672;-0,2289;
-388;0;-1,7166;0,677;1,7166;
-387,5;0;-0,8011;0,691;0,8011;
-387;0;-0,515;0,693;0,515;
-386,5;0;-0,4578;0,693;0,4578;
-386;0;-0,0572;0,694;0,0572;
-385,5;0;-1,0872;0,692;1,0872;
-385;0;-1,545;0,691;1,545;
-384,5;0;1,03;0,693;-1,03;
-384;0;-0,4578;0,683;0,4578;
-383,5;0;-2,1172;0,677;2,1172;
-383;0;-0,8583;0,694;0,8583;
-382,5;0;-0,5722;0,701;0,5722;
-382;0;-0,9727;0,698;0,9727;
-381,5;0;2,861;0,688;-2,861;
-381;0;1,2589;0,678;-1,2589;
-380,5;0;-0,6294;0,685;0,6294;
-380;0;-1,6022;0,693;1,6022;
-379,5;0;-1,3161;0,701;1,3161;
-379;0;-0,7439;0,699;0,7439;
-378,5;0;0,3433;0,69;-0,3433;
-378;0;0,6866;0,684;-0,6866;
-377,5;0;1,2589;0,681;-1,2589;
-377;0;-0,2861;0,684;0,2861;
-376,5;0;-0,8011;0,692;0,8011;
-376;0;-0,4005;0,695;0,4005;
-375,5;0;-1,8883;0,697;1,8883;
-375;0;0,6294;0,7;-0,6294;
-374,5;0;-0,1717;0,686;0,1717;
-374;0;-0,4578;0,682;0,4578;
-373,5;0;-0,4005;0,689;0,4005;
-373;0;-1,2589;0,69;1,2589;
-372,5;0;-0,3433;0,703;0,3433;
-372;0;-0,7439;0,692;0,7439;
-371,5;0;1,9455;0,688;-1,9455;
-371;0;-0,2289;0,683;0,2289;
