t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\S-Parameter\S-0-0347 Velocity error(U/min )
-406;0;0,5722;1,875;-0,5722;
-405,5;0;1,1444;1,87;-1,1444;
-405;0;0,9155;1,859;-0,9155;
-404,5;0;-0,4005;1,853;0,4005;
-404;0;0,515;1,859;-0,515;
-403,5;0;-1,2589;1,857;1,2589;
-403;0;1,2589;1,867;-1,2589;
-402,5;0;1,3161;1,85;-1,3161;
-402;0;0,6294;1,854;-0,6294;
-401,5;0;1,0872;1,863;-1,0872;
-401;0;-0,5722;1,855;0,5722;
-400,5;0;0,2861;1,87;-0,2861;
-400;0;0,515;1,869;-0,515;
-399,5;0;1,1444;1,867;-1,1444;
-399;0;1,545;1,856;-1,545;
-398,5;0;-1,4305;1,856;1,4305;
-398;0;-1,2016;1,864;1,2016;
-397,5;0;-1,4877;1,866;1,4877;
-397;0;-0,8011;1,881;0,8011;
-396,5;0;-0,1144;1,873;0,1144;
-396;0;0,8583;1,859;-0,8583;
-395,5;0;0,3433;1,855;-0,3433;
-395;0;-0,515;1,869;0,515;
-394,5;0;-2,346;1,876;2,346;
-394;0;-0,2289;1,878;0,2289;
-393,5;0;2,4605;1,87;-2,4605;
-393;0;2,1744;1,853;-2,1744;
-392,5;0;-0,2861;1,849;0,2861;
-392;0;-1,1444;1,871;1,1444;
-391,5;0;0,6866;1,881;-0,6866;
-391;0;-0,5722;1,865;0,5722;
-390,5;0;0,4578;1,865;-0,4578;
-390;0;0,8583;1,854;-0,8583;
-389,5;0;-0,2861;1,857;0,2861;
-389;0;-1,2589;1,875;1,2589;
-388,5;0;-0,515;1,885;0,515;
-388;0;-0,3433;1,877;0,3433;
-387,5;0;2,5177;1,874;-2,5177;
-387;0;1,4305;1,852;-1,4305;
-386,5;0;0;1,858;0;
-386;0;-1,7738;1,868;1,7738;
-385,5;0;-0,5722;1,878;0,5722;
-385;0;1,6594;1,877;-1,6594;
-384,5;0;0,8583;1,857;-0,8583;
-384;0;1,7738;1,846;-1,7738;
-383,5;0;-0,0572;1,845;0,0572;
