t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\S-Parameter\S-0-0347 Velocity error(U/min )
-406,5;0;-35,3622;0,626;35,3622;
-406;0;-35,7056;0,63;35,7056;
-405,5;0;-34,5612;0,638;34,5612;
-405;0;-35,9917;0,629;35,9917;
-404,5;0;-37,5938;0,639;37,5938;
-404;0;-36,1061;0,653;36,1061;
-403,5;0;-34,4467;0,636;34,4467;
-403;0;-33,6456;0,621;33,6456;
-402,5;0;-35,0189;0,601;35,0189;
-402;0;-38,0516;0,616;38,0516;
-401,5;0;-35,9344;0,648;35,9344;
-401;0;-35,2478;0,652;35,2478;
-400,5;0;-30,7274;0,636;30,7274;
-400;0;-32,2723;0,6;32,2723;
-399,5;0;-33,7029;0,599;33,7029;
-399;0;-36,335;0,617;36,335;
-398,5;0;-35,4767;0,643;35,4767;
-398;0;-33,5312;0,637;33,5312;
-397,5;0;-30,7846;0,615;30,7846;
-397;0;-32,5012;0,588;32,5012;
-396,5;0;-33,9317;0,597;33,9317;
-396;0;-34,3323;0,613;34,3323;
-395,5;0;-31,5857;0,62;31,5857;
-395;0;-32,7301;0,606;32,7301;
-394,5;0;-34,2751;0,592;34,2751;
-394;0;-32,7873;0,602;32,7873;
-393,5;0;-33,989;0,602;33,989;
-393;0;-32,959;0,602;32,959;
-392,5;0;-33,9317;0,589;33,9317;
-392;0;-34,1606;0,588;34,1606;
-391,5;0;-34,4467;0,604;34,4467;
-391;0;-32,7873;0,621;32,7873;
-390,5;0;-33,2451;0,608;33,2451;
-390;0;-31,8718;0,598;31,8718;
-389,5;0;-33,1306;0,584;33,1306;
-389;0;-34,5039;0,608;34,5039;
-388,5;0;-35,7056;0,629;35,7056;
-388;0;-32,444;0,629;32,444;
-387,5;0;-30,6129;0,611;30,6129;
-387;0;-33,3595;0,589;33,3595;
-386,5;0;-35,5339;0,593;35,5339;
-386;0;-36,1633;0,616;36,1633;
-385,5;0;-34,6756;0,638;34,6756;
-385;0;-33,6456;0,625;33,6456;
-384,5;0;-32,3296;0,611;32,3296;
-384;0;-35,4767;0,605;35,4767;
-383,5;0;-36,1061;0,632;36,1061;
-383;0;-35,7628;0,641;35,7628;
-382,5;0;-32,6157;0,638;32,6157;
-382;0;-32,5584;0,615;32,5584;
-381,5;0;-36,1633;0,613;36,1633;
-381;0;-37,5938;0,641;37,5938;
-380,5;0;-35,9917;0,664;35,9917;
-380;0;-35,3622;0,652;35,3622;
-379,5;0;-34,5612;0,633;34,5612;
-379;0;-35,3622;0,626;35,3622;
-378,5;0;-37,7655;0,631;37,7655;
-378;0;-37,3077;0,658;37,3077;
-377,5;0;-37,4794;0,667;37,4794;
-377;0;-36,4494;0,669;36,4494;
-376,5;0;-36,2778;0,654;36,2778;
-376;0;-37,1933;0,649;37,1933;
-375,5;0;-37,4794;0,654;37,4794;
-375;0;-37,1361;0,67;37,1361;
-374,5;0;-38,0516;0,677;38,0516;
-374;0;-36,9072;0,677;36,9072;
-373,5;0;-37,6511;0,673;37,6511;
-373;0;-38,166;0,679;38,166;
-372,5;0;-37,9944;0,683;37,9944;
-372;0;-38,3949;0,676;38,3949;
-371,5;0;-39,0816;0,679;39,0816;
-371;0;-39,6538;0,695;39,6538;
-370,5;0;-38,4522;0,701;38,4522;
-370;0;-38,1088;0,69;38,1088;
-369,5;0;-35,9344;0,684;35,9344;
-369;0;-36,85;0,673;36,85;
-368,5;0;-38,6238;0,684;38,6238;
-368;0;-39,7682;0,702;39,7682;
-367,5;0;-38,2233;0,709;38,2233;
-367;0;-36,5067;0,693;36,5067;
-366,5;0;-36,9644;0,674;36,9644;
-366;0;-38,4522;0,667;38,4522;
-365,5;0;-37,8227;0,682;37,8227;
-365;0;-38,5666;0,69;38,5666;
-364,5;0;-38,5094;0,701;38,5094;
-364;0;-36,1633;0,692;36,1633;
-363,5;0;-36,85;0,672;36,85;
-363;0;-37,3077;0,673;37,3077;
-362,5;0;-39,196;0,685;39,196;
-362;0;-38,6238;0,706;38,6238;
-361,5;0;-38,166;0,699;38,166;
-361;0;-36,2778;0,69;36,2778;
-360,5;0;-37,365;0,667;37,365;
-360;0;-37,1361;0,668;37,1361;
-359,5;0;-38,6238;0,671;38,6238;
-359;0;-38,9099;0,678;38,9099;
-358,5;0;-38,2233;0,688;38,2233;
-358;0;-36,3922;0,69;36,3922;
-357,5;0;-36,7355;0,67;36,7355;
-357;0;-35,1906;0,662;35,1906;
-356,5;0;-36,5067;0,655;36,5067;
-356;0;-39,1388;0,668;39,1388;
-355,5;0;-40,741;0,694;40,741;
-355;0;-37,7655;0,692;37,7655;
-354,5;0;-34,2178;0,671;34,2178;
-354;0;-34,2751;0,647;34,2751;
-353,5;0;-36,7355;0,632;36,7355;
-353;0;-39,2532;0,655;39,2532;
-352,5;0;-39,0816;0,697;39,0816;
-352;0;-36,6211;0,699;36,6211;
-351,5;0;-33,7029;0,666;33,7029;
-351;0;-34,2751;0,634;34,2751;
-350,5;0;-36,5639;0,621;36,5639;
-350;0;-39,5966;0,656;39,5966;
-349,5;0;-40,226;0,694;40,226;
-349;0;-36,6211;0,693;36,6211;
-348,5;0;-33,7601;0,665;33,7601;
-348;0;-34,2751;0,633;34,2751;
-347,5;0;-35,9917;0,614;35,9917;
-347;0;-38,1088;0,645;38,1088;
-346,5;0;-37,5366;0,68;37,5366;
-346;0;-36,7355;0,674;36,7355;
-345,5;0;-33,1306;0,664;33,1306;
-345;0;-35,305;0,635;35,305;
-344,5;0;-36,3922;0,626;36,3922;
-344;0;-35,9344;0,639;35,9344;
-343,5;0;-36,7928;0,649;36,7928;
-343;0;-37,1361;0,668;37,1361;
-342,5;0;-36,2206;0,671;36,2206;
-342;0;-33,7601;0,669;33,7601;
-341,5;0;-34,7328;0,643;34,7328;
-341;0;-33,3595;0,628;33,3595;
-340,5;0;-36,85;0,634;36,85;
-340;0;-40,1688;0,655;40,1688;
-339,5;0;-38,2233;0,677;38,2233;
-339;0;-34,9045;0,664;34,9045;
-338,5;0;-33,2451;0,64;33,2451;
-338;0;-34,2178;0,628;34,2178;
-337,5;0;-38,6238;0,648;38,6238;
-337;0;-37,4794;0,676;37,4794;
