t (ms);Axis_1 [1] Default\P-Parameter\P-0-0048 Effective velocity command value(U/min );Axis_1 [1] Default\S-Parameter\S-0-0040 Velocity feedback value(U/min );Axis_1 [1] Default\P-Parameter\P-0-0038 Torque-generating current, command value(A eff);Axis_1 [1] Default\S-Parameter\S-0-0347 Velocity error(U/min )
-406,5;0;-127,5444;2,381;127,5444;
-406;0;-128,8033;2,357;128,8033;
-405,5;0;-129,6616;2,338;129,6616;
-405;0;-132,8659;2,36;132,8659;
-404,5;0;-132,2365;2,38;132,2365;
-404;0;-130,9776;2,376;130,9776;
-403,5;0;-129,0894;2,347;129,0894;
-403;0;-133,4381;2,352;133,4381;
-402,5;0;-136,2991;2,402;136,2991;
-402;0;-129,6616;2,412;129,6616;
-401,5;0;-127,8877;2,368;127,8877;
-401;0;-129,8332;2,327;129,8332;
-400,5;0;-135,8986;2,357;135,8986;
-400;0;-137,3863;2,407;137,3863;
-399,5;0;-133,7814;2,438;133,7814;
-399;0;-131,3782;2,409;131,3782;
-398,5;0;-126,1139;2,372;126,1139;
-398;0;-132,7515;2,332;132,7515;
-397,5;0;-134,4681;2,366;134,4681;
-397;0;-135,8414;2,416;135,8414;
-396,5;0;-131,1493;2,402;131,1493;
-396;0;-129,4899;2,375;129,4899;
-395,5;0;-135,0403;2,369;135,0403;
-395;0;-133,0376;2,416;133,0376;
-394,5;0;-132,3509;2,396;132,3509;
-394;0;-128,2311;2,383;128,2311;
-393,5;0;-130,6915;2,363;130,6915;
-393;0;-134,8114;2,376;134,8114;
-392,5;0;-139,5607;2,43;139,5607;
-392;0;-138,8741;2,477;138,8741;
-391,5;0;-127,5444;2,475;127,5444;
-391;0;-127,5444;2,372;127,5444;
-390,5;0;-130,2338;2,349;130,2338;
-390;0;-142,0212;2,407;142,0212;
-389,5;0;-141,7923;2,499;141,7923;
-389;0;-135,4981;2,521;135,4981;
-388,5;0;-131,4926;2,465;131,4926;
-388;0;-129,3182;2,41;129,3182;
-387,5;0;-136,8713;2,374;136,8713;
-387;0;-140,2474;2,442;140,2474;
-386,5;0;-137,9585;2,503;137,9585;
-386;0;-136,3564;2,483;136,3564;
-385,5;0;-134,4681;2,456;134,4681;
-385;0;-138,588;2,46;138,588;
-384,5;0;-135,1547;2,477;135,1547;
-384;0;-135,6125;2,467;135,6125;
-383,5;0;-134,697;2,442;134,697;
-383;0;-135,7269;2,444;135,7269;
-382,5;0;-138,7596;2,449;138,7596;
-382;0;-138,8741;2,487;138,8741;
-381,5;0;-140,7623;2,508;140,7623;
-381;0;-130,0621;2,483;130,0621;
-380,5;0;-129,776;2,411;129,776;
-380;0;-134,2392;2,378;134,2392;
-379,5;0;-137,1574;2,422;137,1574;
-379;0;-138,5307;2,463;138,5307;
-378,5;0;-133,5526;2,476;133,5526;
-378;0;-129,7188;2,437;129,7188;
-377,5;0;-125,5417;2,372;125,5417;
-377;0;-130,291;2,345;130,291;
-376,5;0;-134,3536;2,353;134,3536;
-376;0;-133,3809;2,392;133,3809;
-375,5;0;-131,7215;2,387;131,7215;
-375;0;-130,9204;2,372;130,9204;
-374,5;0;-131,6643;2,386;131,6643;
-374;0;-126,8578;2,383;126,8578;
-373,5;0;-127,5444;2,337;127,5444;
-373;0;-128,6888;2,308;128,6888;
-372,5;0;-134,6397;2,337;134,6397;
-372;0;-136,8713;2,386;136,8713;
-371,5;0;-134,8686;2,439;134,8686;
-371;0;-130,9204;2,428;130,9204;
-370,5;0;-124,054;2,364;124,054;
-370;0;-127,2011;2,295;127,2011;
-369,5;0;-134,182;2,321;134,182;
-369;0;-139,2174;2,407;139,2174;
-368,5;0;-132,4081;2,453;132,4081;
-368;0;-126,6861;2,405;126,6861;
-367,5;0;-131,3782;2,351;131,3782;
-367;0;-130,8632;2,36;130,8632;
-366,5;0;-135,0975;2,37;135,0975;
-366;0;-132,3509;2,393;132,3509;
-365,5;0;-132,2365;2,387;132,2365;
-365;0;-130,6915;2,371;130,6915;
-364,5;0;-134,7542;2,377;134,7542;
-364;0;-138,6452;2,406;138,6452;
